antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.08351917128264154,0.11804906121861737,0.007913099776994462,0.09474590869939709,0.8025977311580249,1.0,-0.0019462599866782795,0.9742578876547909,-0.21158531885674808,0.040861812778603276,-0.026422277583171384,0.08088910303952182
frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.11804906121861737,0.08351917128264154,0.007913099776994462,0.06703229737964655,0.8025977311580248,1.0,-0.0019462599866782795,0.982328569513511,-0.218062829805455,0.040861812778603276,-0.01798932763936682,0.08088910303952182
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.09279907920293504,0.11804906121861737,0.006977915257895115,0.07519379844961241,0.6369707448190506,1.0,-0.003976928923963484,0.9536602774752586,-0.3858361449170582,0.03422724064925899,-0.04859143619510098,0.067152048524014
frozenset({'whole milk'}),frozenset({'other vegetables'}),0.11804906121861737,0.09279907920293504,0.006977915257895115,0.059110298598415593,0.6369707448190506,1.0,-0.003976928923963484,0.9641947610284867,-0.39254630275224195,0.03422724064925899,-0.03713486156398579,0.067152048524014
frozenset({'yogurt'}),frozenset({'whole milk'}),0.06431192000575499,0.11804906121861737,0.006546291633695417,0.10178970917225949,0.8622661469857277,1.0,-0.0010456701481507766,0.9818980563767822,-0.14582016309446508,0.03723404255319149,-0.01843566499155146,0.07862185032043809
frozenset({'whole milk'}),frozenset({'yogurt'}),0.11804906121861737,0.06431192000575499,0.006546291633695417,0.055453991468616695,0.8622661469857278,1.0,-0.0010456701481507766,0.9906220253358426,-0.15334254619521726,0.03723404255319149,-0.0094667536399446,0.07862185032043809
frozenset({'soda'}),frozenset({'whole milk'}),0.07409538882094813,0.11804906121861737,0.00597079346809582,0.08058252427184466,0.6826189335179236,1.0,-0.0027760976228455416,0.959249701103299,-0.3342890437080149,0.03207109737248841,-0.042481429861100116,0.06558071978369807
frozenset({'whole milk'}),frozenset({'soda'}),0.11804906121861737,0.07409538882094813,0.00597079346809582,0.05057891529555149,0.6826189335179236,1.0,-0.0027760976228455416,0.9752307233278716,-0.3451979920554789,0.03207109737248841,-0.025398376076182012,0.06558071978369807
frozenset({'soda'}),frozenset({'other vegetables'}),0.07409538882094813,0.09279907920293504,0.005467232573196173,0.07378640776699029,0.7951200421464589,1.0,-0.0014087512825712595,0.979472692265175,-0.21770605076694222,0.0338680926916221,-0.020957508970824514,0.06635056822458041
frozenset({'other vegetables'}),frozenset({'soda'}),0.09279907920293504,0.07409538882094813,0.005467232573196173,0.05891472868217054,0.795120042146459,1.0,-0.0014087512825712595,0.9838689855197503,-0.22120163164480836,0.0338680926916221,-0.01639549037286514,0.06635056822458041
frozenset({'sausage'}),frozenset({'whole milk'}),0.045248543270268324,0.11804906121861737,0.005251420761096324,0.11605723370429252,0.983127121098946,1.0,-9.012729346883838e-05,0.9977466555638304,-0.017658414717238235,0.03322712790168411,-0.0022584334646516897,0.08027115189175625
frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.08351917128264154,0.09279907920293504,0.005035608948996475,0.06029285099052541,0.6497138927281346,1.0,-0.0027148932418248747,0.9654081292808363,-0.3703844904759888,0.02939941201175976,-0.03583134393630214,0.05727820844099914
frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.09279907920293504,0.08351917128264154,0.005035608948996475,0.05426356589147287,0.6497138927281346,1.0,-0.0027148932418248747,0.969065794299502,-0.37276092625356155,0.02939941201175976,-0.031921677436627605,0.05727820844099914
frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.06431192000575499,0.08351917128264154,0.0044601107833968775,0.06935123042505592,0.8303630095940588,1.0,-0.0009111674790793145,0.9847762750881232,-0.17920704809945204,0.03110888108379327,-0.01545906953385382,0.061376734936903495
frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.08351917128264154,0.06431192000575499,0.0044601107833968775,0.05340223944875107,0.8303630095940587,1.0,-0.0009111674790793145,0.9884748506581605,-0.18227820844099935,0.03110888108379327,-0.011659527133306027,0.061376734936903495
frozenset({'soda'}),frozenset({'rolls/buns'}),0.07409538882094813,0.08351917128264154,0.004388173512696928,0.059223300970873784,0.7090982832007894,1.0,-0.0018002119574937617,0.974174668296057,-0.3070335392762577,0.02863849765258216,-0.02650996022008505,0.05588210698845153
frozenset({'rolls/buns'}),frozenset({'soda'}),0.08351917128264154,0.07409538882094813,0.004388173512696928,0.052540913006029276,0.7090982832007894,1.0,-0.0018002119574937617,0.9772502305262538,-0.30921441517356746,0.02863849765258216,-0.023279369769496305,0.05588210698845153
frozenset({'bottled water'}),frozenset({'whole milk'}),0.047118912308467015,0.11804906121861737,0.004316236241996978,0.0916030534351145,0.7759744337608329,1.0,-0.0012461071216599076,0.9708871679021944,-0.23252748526152645,0.02683363148479427,-0.029985803768227844,0.06408306236655176
frozenset({'yogurt'}),frozenset({'other vegetables'}),0.06431192000575499,0.09279907920293504,0.00410042442989713,0.06375838926174497,0.6870584256802457,1.0,-0.001867662528409749,0.9689816286649654,-0.3274084597505946,0.02679830747531735,-0.03201131003667299,0.05397221788668644
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.03510538810157542,0.11804906121861737,0.0037407380763973814,0.10655737704918034,0.9026533201466519,1.0,-0.0004034200327088177,0.9871377479938411,-0.10053234841997752,0.025036109773712085,-0.013029845158184684,0.06912268608705208
frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.04841378318106611,0.11804906121861737,0.0037407380763973814,0.07726597325408618,0.6545242499726094,1.0,-0.0019744635781691598,0.9558019030593727,-0.35678143851160987,0.022988505747126436,-0.04624190096206754,0.054476984189505
frozenset({'shopping bags'}),frozenset({'whole milk'}),0.03532119991367527,0.11804906121861737,0.003596863534997482,0.10183299389002037,0.8626328141774364,1.0,-0.0005727709559269927,0.9819453762849408,-0.14168419354797415,0.024015369836695485,-0.01838658661784885,0.06615110998583895
frozenset({'pip fruit'}),frozenset({'whole milk'}),0.036472196244874466,0.11804906121861737,0.003381051722897633,0.09270216962524655,0.7852851066182525,1.0,-0.0009244568043909793,0.9720633173090457,-0.22104588459187433,0.02237029985721085,-0.02873957096569721,0.06067162107100231
frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.03978131069707215,0.11804906121861737,0.003381051722897633,0.08499095840867993,0.7199630181834611,1.0,-0.0013150946589378753,0.9638712828974398,-0.28829403209594756,0.021891010712622262,-0.03748292717462809,0.056816015462719
frozenset({'root vegetables'}),frozenset({'rolls/buns'}),0.05157902309186389,0.08351917128264154,0.003381051722897633,0.06555090655509066,0.7848605960571191,1.0,-0.0009267855413030708,0.9807712749109643,-0.22421620105716775,0.025669033315128344,-0.019605718051623606,0.05301662468150743
frozenset({'sausage'}),frozenset({'soda'}),0.045248543270268324,0.07409538882094813,0.0033091144521976835,0.07313195548489666,0.986997391451989,1.0,-4.359395499434378e-05,0.9989605496254265,-0.01361045406956448,0.02851828890266584,-0.001040531955904856,0.05889607482982698
frozenset({'root vegetables'}),frozenset({'whole milk'}),0.05157902309186389,0.11804906121861737,0.0033091144521976835,0.06415620641562064,0.5434707040728474,1.0,-0.002779740802370236,0.9424125530644581,-0.46969565806674446,0.019896193771626294,-0.06110640902254955,0.046093947205372784
frozenset({'frankfurter'}),frozenset({'whole milk'}),0.028846845550679807,0.11804906121861737,0.003237177181497734,0.11221945137157108,0.9506170588154842,1.0,-0.0001681658548784667,0.9934335012677934,-0.05077531734573345,0.022533800701051578,-0.006609902649575084,0.06982087742253143
frozenset({'sausage'}),frozenset({'yogurt'}),0.045248543270268324,0.06431192000575499,0.003237177181497734,0.07154213036565978,1.1124241098579826,1.0,0.000327156486323294,1.0077873327335276,0.10585191882660222,0.030446549391069007,0.007727158777045933,0.060938850417729215
frozenset({'bottled water'}),frozenset({'rolls/buns'}),0.047118912308467015,0.08351917128264154,0.003237177181497734,0.06870229007633588,0.8225930528433635,1.0,-0.000698155326244889,0.9840900701801144,-0.18456045309037172,0.02540937323546019,-0.016167148010114204,0.05373098999940825
frozenset({'yogurt'}),frozenset({'sausage'}),0.06431192000575499,0.045248543270268324,0.003237177181497734,0.05033557046979865,1.1124241098579826,1.0,0.000327156486323294,1.0053566576164665,0.10800850823915313,0.030446549391069007,0.005328116719459842,0.060938850417729215
frozenset({'pastry'}),frozenset({'whole milk'}),0.03978131069707215,0.11804906121861737,0.0031652399107977842,0.07956600361663653,0.6740079319164317,1.0,-0.0015309064710377243,0.9581903126642527,-0.33497369049789333,0.020465116279069766,-0.043634011723094265,0.05318946128424758
frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.02834328465578016,0.11804906121861737,0.0030933026400978346,0.10913705583756345,0.9245059190724981,1.0,-0.0002525955053690556,0.9899962104839453,-0.07752552365583884,0.021586345381526102,-0.01010487657439075,0.06767029513389446
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.028846845550679807,0.09279907920293504,0.0030933026400978346,0.10723192019950124,1.155527847049044,1.0,0.000416341935085465,1.0161663945240866,0.1385925925925926,0.026092233009708737,0.015909200118409867,0.07028262676641729
frozenset({'pip fruit'}),frozenset({'rolls/buns'}),0.036472196244874466,0.08351917128264154,0.0030933026400978346,0.08481262327416174,1.015486887281759,1.0,4.717503486804855e-05,1.0014133193097,0.015827982678811452,0.02646153846153846,0.001411324657309443,0.06092483015559939
frozenset({'tropical fruit'}),frozenset({'other vegetables'}),0.04841378318106611,0.09279907920293504,0.0030933026400978346,0.0638930163447251,0.6885091629519564,1.0,-0.0013994518598356436,0.9691209836451186,-0.3222319003945278,0.02239583333333333,-0.03186291172722038,0.048613174839029216
frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.05157902309186389,0.09279907920293504,0.0030933026400978346,0.0599721059972106,0.6462575546257554,1.0,-0.0016931832090140582,0.9650787243493999,-0.3659404607319771,0.02189409368635438,-0.036184898464259416,0.046652719665271965
frozenset({'canned beer'}),frozenset({'whole milk'}),0.034529889935975826,0.11804906121861737,0.003021365369397885,0.08750000000000001,0.7412172455819622,1.0,-0.001054855721526245,0.9665215767467207,-0.26558005003126944,0.0202020202020202,-0.034638050570962475,0.056547074954296166
frozenset({'sausage'}),frozenset({'rolls/buns'}),0.045248543270268324,0.08351917128264154,0.003021365369397885,0.06677265500794913,0.7994889554397079,1.0,-0.0007577554662816723,0.9820552662065051,-0.20803692827032996,0.024027459954233405,-0.01827263129784138,0.05147418280113218
frozenset({'citrus fruit'}),frozenset({'other vegetables'}),0.03978131069707215,0.09279907920293504,0.0029494280986979353,0.07414104882459313,0.7989416431865652,1.0,-0.0007422409034762299,0.9798478695327675,-0.2076583509121944,0.022752497225305215,-0.020566591094229706,0.05296199728051362
frozenset({'tropical fruit'}),frozenset({'rolls/buns'}),0.04841378318106611,0.08351917128264154,0.0029494280986979353,0.06092124814264487,0.7294283121713233,1.0,-0.0010940509512421949,0.9759360723525036,-0.28047654425811924,0.02286670384829894,-0.024657278616098403,0.04811781614711916
frozenset({'shopping bags'}),frozenset({'soda'}),0.03532119991367527,0.07409538882094813,0.0028774908279979856,0.0814663951120163,1.0994799596622704,1.0,0.0002603527867717768,1.0080247540774157,0.09379194630872491,0.027008777852802163,0.007960870052998106,0.060150673284163486
frozenset({'sausage'}),frozenset({'other vegetables'}),0.045248543270268324,0.09279907920293504,0.0028774908279979856,0.06359300476947535,0.6852762475197496,1.0,-0.0013215323227570778,0.9688104909700405,-0.32479491255961845,0.0212879191059074,-0.03219361198156554,0.047300378353729924
frozenset({'butter'}),frozenset({'whole milk'}),0.027120351053881015,0.11804906121861737,0.002805553557298036,0.10344827586206896,0.876315955367837,1.0,-0.00039597842453195815,0.9837145086407729,-0.1266950794265789,0.019706922688226373,-0.016555099285593754,0.06360713610288092
frozenset({'shopping bags'}),frozenset({'rolls/buns'}),0.03532119991367527,0.08351917128264154,0.002805553557298036,0.07942973523421588,0.9510359599404263,1.0,-0.00014444378820063254,0.9955577143810244,-0.05066599867126999,0.024178549287042776,-0.0044621075752876785,0.056510733250182875
frozenset({'citrus fruit'}),frozenset({'rolls/buns'}),0.03978131069707215,0.08351917128264154,0.002805553557298036,0.0705244122965642,0.8444098667825486,1.0,-0.0005169485446587128,0.986019257355446,-0.16099834640415422,0.023283582089552238,-0.014178975248466334,0.05205807178135703
frozenset({'bottled water'}),frozenset({'soda'}),0.047118912308467015,0.07409538882094813,0.002805553557298036,0.059541984732824425,0.8035855628844586,1.0,-0.0006857405710179862,0.984525195328375,-0.2041441677386555,0.023693803159173753,-0.01571803824326063,0.04870303120136367
frozenset({'newspapers'}),frozenset({'whole milk'}),0.029134594633479605,0.11804906121861737,0.0027336162865980863,0.09382716049382715,0.7948149652801287,1.0,-0.0007056952588691489,0.9732701095543868,-0.2100490592484771,0.01892430278884462,-0.027464000161118173,0.058491886157943436
frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.03532119991367527,0.09279907920293504,0.0027336162865980863,0.07739307535641549,0.833985380255451,1.0,-0.0005441585417337675,0.9833016602899755,-0.17105340213296197,0.02180149168100975,-0.016981909402146403,0.05342521984875038
frozenset({'pork'}),frozenset({'whole milk'}),0.027336162865980864,0.11804906121861737,0.0026616790158981367,0.09736842105263158,0.824813175534815,1.0,-0.0005653293477501332,0.9770885036061965,-0.1792279170494816,0.018649193548387098,-0.02344874216536448,0.05995782417652907
frozenset({'fruit/vegetable juice'}),frozenset({'whole milk'}),0.02596935472268182,0.11804906121861737,0.002589741745198187,0.09972299168975068,0.8447588711025132,1.0,-0.0004759162002676695,0.9796439658463972,-0.15872317291014068,0.018311291963377416,-0.02077901244052005,0.06083041723427205
frozenset({'citrus fruit'}),frozenset({'yogurt'}),0.03978131069707215,0.06431192000575499,0.002589741745198187,0.0650994575045208,1.0122455914657087,1.0,3.132927392399771e-05,1.0008423756998404,0.012598641494356124,0.025513819985825654,0.0008416667002647453,0.052683956940179855
frozenset({'bottled water'}),frozenset({'other vegetables'}),0.047118912308467015,0.09279907920293504,0.002589741745198187,0.0549618320610687,0.5922669980472217,1.0,-0.001782849930071394,0.9599622021358281,-0.41943825559735565,0.01885804085908853,-0.04170768158901625,0.04143440440262737
frozenset({'brown bread'}),frozenset({'whole milk'}),0.029566218257679303,0.11804906121861737,0.0025178044744982374,0.0851581508515815,0.7213793144349996,1.0,-0.0009724598346055493,0.9640474357424156,-0.28469274284692747,0.01735250371839365,-0.03729335603688137,0.05324330455437089
frozenset({'whipped/sour cream'}),frozenset({'whole milk'}),0.03345083087547658,0.11804906121861737,0.0025178044744982374,0.07526881720430108,0.6376062327586771,1.0,-0.0014310347073345137,0.9537376431007976,-0.37029151434807644,0.016900048285852242,-0.04850637618621621,0.048298637730730676
frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.03510538810157542,0.09279907920293504,0.0025178044744982374,0.07172131147540983,0.7728666285423815,1.0,-0.0007399432163896335,0.9772937071721141,-0.23346776827117752,0.02008032128514056,-0.02323384736978256,0.04942654721057313
frozenset({'pip fruit'}),frozenset({'other vegetables'}),0.036472196244874466,0.09279907920293504,0.0025178044744982374,0.06903353057199212,0.7439031848691957,1.0,-0.0008667817535348578,0.9744721755171863,-0.2632389573854482,0.019863791146424517,-0.026196565817043656,0.04808265675886428
frozenset({'beef'}),frozenset({'whole milk'}),0.02640097834688152,0.11804906121861737,0.0024458672037982877,0.09264305177111716,0.7847843160696524,1.0,-0.0006707435053041203,0.9719999835818842,-0.21976909603590564,0.017223910840932114,-0.028806601739779808,0.05668106275332214
frozenset({'pip fruit'}),frozenset({'soda'}),0.036472196244874466,0.07409538882094813,0.0024458672037982877,0.0670611439842209,0.9050650121598591,1.0,-0.0002565543581196099,0.9924601223420281,-0.09817574043709337,0.02262142381902861,-0.007597159309715262,0.050035426361042495
frozenset({'pork'}),frozenset({'other vegetables'}),0.027336162865980864,0.09279907920293504,0.002373929933098338,0.08684210526315789,0.9358078335373317,1.0,-0.00016284080980615186,0.9934765126884284,-0.06587740233638995,0.02015882712278558,-0.006566322633957827,0.05621175030599755
frozenset({'curd'}),frozenset({'whole milk'}),0.02604129199338177,0.11804906121861737,0.0023019926623983884,0.08839779005524862,0.7488224738318165,1.0,-0.0007721574103402265,0.9674734540571531,-0.2561729772790485,0.016235413495687467,-0.03362009139004805,0.053949047373754715
frozenset({'domestic eggs'}),frozenset({'other vegetables'}),0.02834328465578016,0.09279907920293504,0.0023019926623983884,0.08121827411167512,0.8752056034313147,1.0,-0.00032823805524468796,0.9873954773316121,-0.12796881683116385,0.019370460048426148,-0.012765424754072167,0.05301223783103136
